nim,nama,jenis_kelamin,program_studi,angkatan,semester,status_akademik,ipk,sks_lulus,kehadiran_persen,golongan_ukt,nominal_ukt,tunggakan_ukt,status_pembayaran,dosen_pa
22040016,Yusuf Santoso,L,D3 Sistem Informasi,2022,9,Aktif,2.82,148,77.3,6,5800000,2900000,Cicilan,Dr. Sri Wahyuni
22040017,Andre Lestari,L,D3 Sistem Informasi,2022,9,Lulus,3.63,148,96.4,5,4600000,0,Lunas,"Rizal Fadhillah, M.T"
22040018,Citra Utami,P,D3 Sistem Informasi,2022,9,Aktif,2.82,148,74.9,3,2400000,0,Lunas,"Yuni Kartika, M.T"
22040019,Bayu Maulana,L,D3 Sistem Informasi,2022,9,Lulus,3.67,148,85.4,1,500000,0,Lunas,"Rizal Fadhillah, M.T"
22040020,Ilham Firmansyah,L,D3 Sistem Informasi,2022,9,Aktif,3.87,148,97.2,6,5800000,0,Lunas,Dr. Arief Rahman
22040021,Andre Permata,L,D3 Sistem Informasi,2022,9,Aktif,2.54,148,66.4,6,5800000,0,Lunas,"Nur Aisyah, M.Sc"
22010001,Maya Anggraini,P,S1 Informatika,2022,9,Lulus,3.01,148,82.8,7,7000000,0,Lunas,"Hendra Gunawan, M.Kom"
22010002,Umar Nugroho,L,S1 Informatika,2022,9,Aktif,2.86,148,77.9,4,3500000,0,Lunas,"Hendra Gunawan, M.Kom"
22010003,Umar Kusuma,L,S1 Informatika,2022,9,Lulus,3.15,143,76.7,6,5800000,0,Lunas,"Rizal Fadhillah, M.T"
22010004,Zahra Wijaya,P,S1 Informatika,2022,9,Cuti,2.66,143,67.3,8,8500000,12750000,Menunggak,"Ir. Bambang Setyo, M.Kom"
22010005,Andini Saputra,P,S1 Informatika,2022,9,Aktif,3.63,148,89.7,4,3500000,0,Lunas,Dr. Sri Wahyuni
22010006,Taufik Maulana,L,S1 Informatika,2022,9,Lulus,3.14,148,79.9,5,4600000,0,Lunas,Dr. Arief Rahman
22010007,Gita Wijaya,P,S1 Informatika,2022,9,Aktif,3.59,148,99.2,7,7000000,7000000,Menunggak,"Hendra Gunawan, M.Kom"
22010008,Ilham Hakim,L,S1 Informatika,2022,9,Aktif,3.97,148,95.6,5,4600000,0,Lunas,Dr. Arief Rahman
22010009,Farah Pratama,P,S1 Informatika,2022,9,Aktif,3.45,148,84.2,2,1000000,1500000,Menunggak,"Rizal Fadhillah, M.T"
22010010,Joko Hidayat,L,S1 Informatika,2022,9,Aktif,3.18,148,86.9,6,5800000,0,Lunas,"Ir. Bambang Setyo, M.Kom"
22010011,Hafiz Rahmawati,L,S1 Informatika,2022,9,Aktif,3.76,148,83.2,6,5800000,0,Lunas,"Rizal Fadhillah, M.T"
22010012,Putri Saputra,P,S1 Informatika,2022,9,Lulus,3.32,148,79.4,3,2400000,0,Lunas,"Yuni Kartika, M.T"
22010013,Hana Hakim,P,S1 Informatika,2022,9,Lulus,3.34,148,82.4,5,4600000,0,Lunas,"Rizal Fadhillah, M.T"
22010014,Fikri Halim,L,S1 Informatika,2022,9,Non-Aktif,2.5,143,76.2,7,7000000,7000000,Menunggak,"Nur Aisyah, M.Sc"
22010015,Sinta Maulana,P,S1 Informatika,2022,9,Lulus,3.86,148,90.1,6,5800000,0,Lunas,Dr. Arief Rahman
22010016,Laras Utami,P,S1 Informatika,2022,9,Aktif,3.54,139,88.6,3,2400000,0,Lunas,"Ir. Bambang Setyo, M.Kom"
22010017,Wahyu Anggraini,L,S1 Informatika,2022,9,Aktif,3.78,148,85.1,5,4600000,0,Lunas,"Dwi Handayani, M.Kom"
22010018,Gita Utami,P,S1 Informatika,2022,9,Aktif,3.33,148,82.4,6,5800000,0,Lunas,Dr. Arief Rahman
22010019,Ayu Utami,P,S1 Informatika,2022,9,Aktif,2.47,135,73.5,3,2400000,0,Lunas,"Hendra Gunawan, M.Kom"
22010020,Naufal Nugroho,L,S1 Informatika,2022,9,Lulus,3.59,148,99.8,3,2400000,0,Lunas,"Dwi Handayani, M.Kom"
22010021,Galih Hakim,L,S1 Informatika,2022,9,Aktif,2.85,148,76.1,8,8500000,0,Lunas,"Rizal Fadhillah, M.T"
22010022,Dewi Maulana,P,S1 Informatika,2022,9,Lulus,3.41,144,89.1,5,4600000,0,Lunas,"Hendra Gunawan, M.Kom"
22010023,Gilang Ramadhan,L,S1 Informatika,2022,9,Aktif,4.0,148,91.9,4,3500000,0,Lunas,Dr. Arief Rahman
22010024,Bayu Santoso,L,S1 Informatika,2022,9,Lulus,4.0,148,96.0,4,3500000,0,Lunas,"Yuni Kartika, M.T"
22010025,Kartika Permata,P,S1 Informatika,2022,9,Aktif,3.15,148,84.9,8,8500000,0,Lunas,Dr. Arief Rahman
22010026,Bimo Santoso,L,S1 Informatika,2022,9,Lulus,3.19,144,75.1,3,2400000,0,Lunas,"Rizal Fadhillah, M.T"
22010027,Zahra Maulana,P,S1 Informatika,2022,9,Aktif,2.78,148,72.9,4,3500000,0,Lunas,"Hendra Gunawan, M.Kom"
22010028,Vina Rahmawati,P,S1 Informatika,2022,9,Lulus,3.08,140,85.8,8,8500000,0,Lunas,"Yuni Kartika, M.T"
22010029,Elsa Saputra,P,S1 Informatika,2022,9,Lulus,3.31,148,88.1,5,4600000,0,Lunas,Dr. Arief Rahman
22010030,Reza Maulana,L,S1 Informatika,2022,9,Aktif,2.49,141,69.8,3,2400000,0,Lunas,Dr. Arief Rahman
22010031,Ahmad Syahputra,L,S1 Informatika,2022,9,Lulus,3.2,148,81.9,5,4600000,0,Lunas,"Hendra Gunawan, M.Kom"
22010032,Galih Permata,L,S1 Informatika,2022,9,Aktif,3.16,148,88.1,6,5800000,0,Lunas,"Dwi Handayani, M.Kom"
22010033,Umar Saputra,L,S1 Informatika,2022,9,Aktif,3.74,145,80.8,5,4600000,0,Lunas,Dr. Arief Rahman
22010034,Tiara Saputra,P,S1 Informatika,2022,9,Non-Aktif,3.5,148,88.9,2,1000000,1000000,Menunggak,"Ir. Bambang Setyo, M.Kom"
22010035,Hafiz Wibowo,L,S1 Informatika,2022,9,Aktif,2.88,148,69.7,1,500000,0,Lunas,Dr. Sri Wahyuni
22010036,Ilham Saputra,L,S1 Informatika,2022,9,Aktif,2.75,148,82.1,8,8500000,0,Lunas,"Nur Aisyah, M.Sc"
22010037,Wahyu Maulana,L,S1 Informatika,2022,9,Lulus,4.0,148,86.5,4,3500000,0,Lunas,"Yuni Kartika, M.T"
22010038,Fikri Rahmawati,L,S1 Informatika,2022,9,Aktif,3.0,148,79.2,5,4600000,0,Lunas,"Hendra Gunawan, M.Kom"
22010039,Yusuf Nugroho,L,S1 Informatika,2022,9,Lulus,2.98,148,74.9,4,3500000,0,Lunas,Dr. Arief Rahman
22010040,Satrio Hidayat,L,S1 Informatika,2022,9,Aktif,3.52,148,100.0,4,3500000,0,Lunas,"Ir. Bambang Setyo, M.Kom"
22010041,Joko Hidayat,L,S1 Informatika,2022,9,Lulus,3.77,148,85.3,8,8500000,0,Lunas,"Yuni Kartika, M.T"
22010042,Bagas Santoso,L,S1 Informatika,2022,9,Aktif,3.22,148,84.3,1,500000,0,Lunas,Dr. Arief Rahman
22010043,Taufik Wijaya,L,S1 Informatika,2022,9,Lulus,3.1,148,83.8,4,3500000,0,Lunas,"Yuni Kartika, M.T"
22010044,Laras Lestari,P,S1 Informatika,2022,9,Lulus,3.12,146,80.4,5,4600000,0,Lunas,"Yuni Kartika, M.T"
22010045,Vina Hidayat,P,S1 Informatika,2022,9,Aktif,3.38,148,78.6,3,2400000,0,Lunas,"Rizal Fadhillah, M.T"
22010046,Aditya Nugroho,L,S1 Informatika,2022,9,Aktif,2.88,148,70.5,8,8500000,0,Lunas,"Dwi Handayani, M.Kom"
22010047,Laras Utami,P,S1 Informatika,2022,9,Lulus,3.07,148,76.5,5,4600000,0,Lunas,"Rizal Fadhillah, M.T"
22010048,Elsa Wibowo,P,S1 Informatika,2022,9,Aktif,2.66,147,81.9,5,4600000,2300000,Cicilan,Dr. Arief Rahman
22010049,Lutfi Pratama,L,S1 Informatika,2022,9,Non-Aktif,3.1,148,82.3,4,3500000,3500000,Menunggak,"Hendra Gunawan, M.Kom"
22010050,Rizky Wijaya,L,S1 Informatika,2022,9,Lulus,3.82,144,85.7,7,7000000,0,Lunas,"Rizal Fadhillah, M.T"
22010051,Maya Anggraini,P,S1 Informatika,2022,9,Aktif,2.71,146,83.1,6,5800000,0,Lunas,"Ir. Bambang Setyo, M.Kom"
22010052,Sinta Saputra,P,S1 Informatika,2022,9,Aktif,2.65,148,75.0,5,4600000,0,Lunas,Dr. Sri Wahyuni
22010053,Vina Hidayat,P,S1 Informatika,2022,9,Aktif,2.99,148,75.6,5,4600000,0,Lunas,"Nur Aisyah, M.Sc"
22010054,Bimo Setiawan,L,S1 Informatika,2022,9,Lulus,3.54,148,80.3,3,2400000,0,Lunas,"Hendra Gunawan, M.Kom"
22010055,Hafiz Saputra,L,S1 Informatika,2022,9,Aktif,2.53,146,67.1,4,3500000,0,Lunas,"Yuni Kartika, M.T"
22010056,Hana Firmansyah,P,S1 Informatika,2022,9,Aktif,3.36,148,86.0,6,5800000,5800000,Menunggak,"Hendra Gunawan, M.Kom"
22010057,Oktavia Ramadhan,P,S1 Informatika,2022,9,Lulus,3.07,145,80.2,6,5800000,0,Lunas,"Rizal Fadhillah, M.T"
22010058,Umar Permata,L,S1 Informatika,2022,9,Lulus,3.07,148,86.3,6,5800000,0,Lunas,"Dwi Handayani, M.Kom"
22010059,Maya Lestari,P,S1 Informatika,2022,9,Aktif,3.18,146,96.1,5,4600000,0,Lunas,"Yuni Kartika, M.T"
22010060,Hana Ramadhan,P,S1 Informatika,2022,9,Lulus,3.19,141,85.9,5,4600000,0,Lunas,Dr. Arief Rahman
22010061,Naufal Setiawan,L,S1 Informatika,2022,9,Lulus,3.35,148,85.1,4,3500000,0,Lunas,Dr. Arief Rahman
22010062,Dewi Pratama,P,S1 Informatika,2022,9,Lulus,3.17,148,83.5,6,5800000,0,Lunas,"Rizal Fadhillah, M.T"
22010063,Fajar Hidayat,L,S1 Informatika,2022,9,Lulus,3.42,148,74.1,4,3500000,0,Lunas,"Hendra Gunawan, M.Kom"
22010064,Rani Rahmawati,P,S1 Informatika,2022,9,Aktif,2.91,148,80.8,6,5800000,0,Lunas,Dr. Arief Rahman
22010065,Fikri Utami,L,S1 Informatika,2022,9,Aktif,2.49,147,67.2,7,7000000,3500000,Cicilan,"Ir. Bambang Setyo, M.Kom"
22010066,Andre Santoso,L,S1 Informatika,2022,9,Aktif,2.97,145,87.7,8,8500000,0,Lunas,"Nur Aisyah, M.Sc"
22010067,Hafiz Wibowo,L,S1 Informatika,2022,9,Aktif,2.7,143,75.2,6,5800000,0,Lunas,"Nur Aisyah, M.Sc"
22010068,Galih Saputra,L,S1 Informatika,2022,9,Aktif,3.24,148,92.8,6,5800000,0,Lunas,"Hendra Gunawan, M.Kom"
22010069,Fikri Santoso,L,S1 Informatika,2022,9,Lulus,3.0,145,82.2,8,8500000,0,Lunas,Dr. Arief Rahman
22010070,Fikri Setiawan,L,S1 Informatika,2022,9,Lulus,3.37,148,86.6,4,3500000,0,Lunas,Dr. Arief Rahman
22010071,Bimo Halim,L,S1 Informatika,2022,9,Aktif,3.29,148,73.7,3,2400000,0,Lunas,"Rizal Fadhillah, M.T"
22010072,Naufal Wijaya,L,S1 Informatika,2022,9,Lulus,3.72,148,82.5,1,500000,0,Lunas,"Yuni Kartika, M.T"
22010073,Wahyu Santoso,L,S1 Informatika,2022,9,Aktif,2.88,144,77.5,8,8500000,0,Lunas,"Ir. Bambang Setyo, M.Kom"
22010074,Dewi Utami,P,S1 Informatika,2022,9,Lulus,3.86,148,91.3,2,1000000,0,Lunas,"Nur Aisyah, M.Sc"
22010075,Taufik Nugroho,L,S1 Informatika,2022,9,Lulus,3.35,140,84.9,7,7000000,0,Lunas,"Yuni Kartika, M.T"
22010076,Dandi Halim,L,S1 Informatika,2022,9,Aktif,3.51,148,84.1,3,2400000,1200000,Cicilan,"Ir. Bambang Setyo, M.Kom"
22010077,Yusuf Kusuma,L,S1 Informatika,2022,9,Lulus,3.57,148,78.5,2,1000000,0,Lunas,Dr. Sri Wahyuni
22030001,Melati Syahputra,P,S1 Sains Data,2022,9,Aktif,3.41,148,89.6,4,3500000,0,Lunas,"Dwi Handayani, M.Kom"
22030002,Hafiz Hakim,L,S1 Sains Data,2022,9,Aktif,3.58,148,75.7,3,2400000,0,Lunas,"Rizal Fadhillah, M.T"
22030003,Rizky Hidayat,L,S1 Sains Data,2022,9,Aktif,2.9,147,75.2,6,5800000,0,Lunas,Dr. Sri Wahyuni
22030004,Kartika Halim,P,S1 Sains Data,2022,9,Lulus,3.77,148,83.5,6,5800000,0,Lunas,"Hendra Gunawan, M.Kom"
22030005,Citra Setiawan,P,S1 Sains Data,2022,9,Lulus,3.37,148,79.3,4,3500000,0,Lunas,"Yuni Kartika, M.T"
22030006,Nadia Ramadhan,P,S1 Sains Data,2022,9,Lulus,3.41,148,92.4,6,5800000,0,Lunas,"Nur Aisyah, M.Sc"
22030007,Oktavia Santoso,P,S1 Sains Data,2022,9,Aktif,2.26,146,74.0,8,8500000,0,Lunas,"Yuni Kartika, M.T"
22030008,Rizky Permata,L,S1 Sains Data,2022,9,Lulus,3.06,148,75.7,5,4600000,0,Lunas,"Yuni Kartika, M.T"
22030009,Fajar Maulana,L,S1 Sains Data,2022,9,Lulus,3.22,148,79.8,4,3500000,0,Lunas,"Ir. Bambang Setyo, M.Kom"
22030010,Bimo Hidayat,L,S1 Sains Data,2022,9,Lulus,3.68,148,87.1,4,3500000,0,Lunas,"Yuni Kartika, M.T"
22030011,Laras Nugroho,P,S1 Sains Data,2022,9,Aktif,2.36,148,61.2,6,5800000,11600000,Menunggak,"Dwi Handayani, M.Kom"
22030012,Wahyu Utami,L,S1 Sains Data,2022,9,Lulus,3.39,148,75.4,2,1000000,0,Lunas,Dr. Sri Wahyuni
22030013,Umar Maulana,L,S1 Sains Data,2022,9,Aktif,2.94,148,76.9,6,5800000,0,Lunas,Dr. Sri Wahyuni
22030014,Sinta Hidayat,P,S1 Sains Data,2022,9,Aktif,3.28,144,83.9,6,5800000,0,Lunas,"Dwi Handayani, M.Kom"
22030015,Hafiz Firmansyah,L,S1 Sains Data,2022,9,Aktif,3.74,148,87.5,4,3500000,3500000,Menunggak,Dr. Arief Rahman
22030016,Salsabila Ramadhan,P,S1 Sains Data,2022,9,Lulus,3.27,143,76.6,4,3500000,0,Lunas,Dr. Arief Rahman
22030017,Citra Pratama,P,S1 Sains Data,2022,9,Lulus,3.31,142,82.3,2,1000000,0,Lunas,"Yuni Kartika, M.T"
22030018,Aditya Permata,L,S1 Sains Data,2022,9,Aktif,2.44,143,80.2,6,5800000,0,Lunas,"Rizal Fadhillah, M.T"
22030019,Aditya Utami,L,S1 Sains Data,2022,9,Lulus,3.35,148,81.9,3,2400000,0,Lunas,"Nur Aisyah, M.Sc"
22030020,Gita Hakim,P,S1 Sains Data,2022,9,Lulus,3.22,148,84.5,6,5800000,0,Lunas,"Hendra Gunawan, M.Kom"
22030021,Laras Hidayat,P,S1 Sains Data,2022,9,Lulus,3.15,148,88.4,8,8500000,0,Lunas,"Hendra Gunawan, M.Kom"
22030022,Hana Lestari,P,S1 Sains Data,2022,9,Aktif,3.23,148,75.7,1,500000,0,Lunas,"Nur Aisyah, M.Sc"
22030023,Naufal Maulana,L,S1 Sains Data,2022,9,Aktif,2.76,141,69.6,7,7000000,0,Lunas,"Hendra Gunawan, M.Kom"
22030024,Galih Utami,L,S1 Sains Data,2022,9,Aktif,3.27,143,77.4,4,3500000,0,Lunas,"Nur Aisyah, M.Sc"
22030025,Vina Rahmawati,P,S1 Sains Data,2022,9,Aktif,3.3,148,79.1,4,3500000,0,Lunas,Dr. Sri Wahyuni
22030026,Elsa Wibowo,P,S1 Sains Data,2022,9,Lulus,3.23,148,88.8,3,2400000,0,Lunas,Dr. Arief Rahman
22030027,Putri Nugroho,P,S1 Sains Data,2022,9,Aktif,2.82,148,72.1,2,1000000,0,Lunas,"Hendra Gunawan, M.Kom"
22030028,Bayu Rahmawati,L,S1 Sains Data,2022,9,Aktif,2.82,148,76.0,3,2400000,0,Lunas,"Yuni Kartika, M.T"
22030029,Bagas Maulana,L,S1 Sains Data,2022,9,Lulus,3.94,148,94.8,5,4600000,0,Lunas,"Yuni Kartika, M.T"
22030030,Dimas Nugroho,L,S1 Sains Data,2022,9,Aktif,3.45,148,96.0,4,3500000,0,Lunas,"Ir. Bambang Setyo, M.Kom"
22030031,Ayu Kusuma,P,S1 Sains Data,2022,9,Lulus,3.41,148,84.5,4,3500000,0,Lunas,"Hendra Gunawan, M.Kom"
22030032,Andini Halim,P,S1 Sains Data,2022,9,Aktif,3.65,148,85.6,6,5800000,0,Lunas,"Dwi Handayani, M.Kom"
22030033,Andre Lestari,L,S1 Sains Data,2022,9,Aktif,2.75,148,83.6,4,3500000,0,Lunas,"Yuni Kartika, M.T"
22020001,Ilham Anggraini,L,S1 Sistem Informasi,2022,9,Lulus,3.29,148,100.0,5,4600000,0,Lunas,"Ir. Bambang Setyo, M.Kom"
22020002,Aditya Ramadhan,L,S1 Sistem Informasi,2022,9,Lulus,3.63,148,81.2,8,8500000,0,Lunas,"Hendra Gunawan, M.Kom"
22020003,Sinta Maulana,P,S1 Sistem Informasi,2022,9,Lulus,3.44,148,81.9,6,5800000,0,Lunas,"Hendra Gunawan, M.Kom"
22020004,Ilham Utami,L,S1 Sistem Informasi,2022,9,Aktif,2.62,147,80.7,3,2400000,0,Lunas,Dr. Arief Rahman
22020005,Maya Rahmawati,P,S1 Sistem Informasi,2022,9,Aktif,2.91,148,81.0,1,500000,0,Lunas,Dr. Arief Rahman
22020006,Bimo Kusuma,L,S1 Sistem Informasi,2022,9,Lulus,4.0,148,85.2,2,1000000,0,Lunas,"Yuni Kartika, M.T"
22020007,Farah Rahmawati,P,S1 Sistem Informasi,2022,9,Aktif,2.88,146,78.8,5,4600000,0,Lunas,"Rizal Fadhillah, M.T"
22020008,Nadia Permata,P,S1 Sistem Informasi,2022,9,Lulus,2.96,148,81.2,7,7000000,0,Lunas,"Yuni Kartika, M.T"
22020009,Aditya Hakim,L,S1 Sistem Informasi,2022,9,Aktif,2.81,141,86.6,2,1000000,0,Lunas,"Hendra Gunawan, M.Kom"
22020010,Vina Santoso,P,S1 Sistem Informasi,2022,9,Aktif,2.34,142,68.3,6,5800000,5800000,Menunggak,"Hendra Gunawan, M.Kom"
22020011,Ayu Lestari,P,S1 Sistem Informasi,2022,9,Aktif,3.5,148,79.1,2,1000000,0,Lunas,"Yuni Kartika, M.T"
22020012,Anisa Lestari,P,S1 Sistem Informasi,2022,9,Aktif,3.61,148,74.4,4,3500000,0,Lunas,"Nur Aisyah, M.Sc"
22020013,Aditya Lestari,L,S1 Sistem Informasi,2022,9,Lulus,3.19,143,77.9,5,4600000,0,Lunas,"Ir. Bambang Setyo, M.Kom"
22020014,Laras Kusuma,P,S1 Sistem Informasi,2022,9,Aktif,3.22,148,87.2,4,3500000,0,Lunas,Dr. Sri Wahyuni
22020015,Bimo Kusuma,L,S1 Sistem Informasi,2022,9,Lulus,2.99,148,88.6,3,2400000,0,Lunas,Dr. Arief Rahman
22020016,Elsa Utami,P,S1 Sistem Informasi,2022,9,Aktif,2.85,142,72.4,5,4600000,0,Lunas,"Nur Aisyah, M.Sc"
22020017,Andini Wijaya,P,S1 Sistem Informasi,2022,9,Aktif,2.63,147,67.5,5,4600000,0,Lunas,"Rizal Fadhillah, M.T"
22020018,Citra Setiawan,P,S1 Sistem Informasi,2022,9,Aktif,2.72,140,71.9,8,8500000,4250000,Cicilan,"Dwi Handayani, M.Kom"
22020019,Andini Maulana,P,S1 Sistem Informasi,2022,9,Aktif,4.0,148,88.2,8,8500000,0,Lunas,"Hendra Gunawan, M.Kom"
22020020,Anisa Permata,P,S1 Sistem Informasi,2022,9,Aktif,3.17,148,83.8,2,1000000,0,Lunas,"Dwi Handayani, M.Kom"
22020021,Bagas Utami,L,S1 Sistem Informasi,2022,9,Aktif,2.2,142,77.8,6,5800000,0,Lunas,Dr. Arief Rahman
22020022,Sinta Wibowo,P,S1 Sistem Informasi,2022,9,Aktif,3.31,148,78.4,4,3500000,0,Lunas,"Rizal Fadhillah, M.T"
22020023,Satrio Ramadhan,L,S1 Sistem Informasi,2022,9,Lulus,3.08,146,79.3,5,4600000,0,Lunas,"Ir. Bambang Setyo, M.Kom"
22020024,Reza Ramadhan,L,S1 Sistem Informasi,2022,9,Non-Aktif,2.92,148,84.2,4,3500000,5250000,Menunggak,"Dwi Handayani, M.Kom"
22020025,Tiara Kusuma,P,S1 Sistem Informasi,2022,9,Aktif,2.8,148,69.3,5,4600000,0,Lunas,"Yuni Kartika, M.T"
22020026,Bayu Pratama,L,S1 Sistem Informasi,2022,9,Aktif,3.93,148,83.0,4,3500000,0,Lunas,"Dwi Handayani, M.Kom"
22020027,Yusuf Permata,L,S1 Sistem Informasi,2022,9,Cuti,2.63,148,78.9,5,4600000,0,Lunas,Dr. Sri Wahyuni
22020028,Anisa Anggraini,P,S1 Sistem Informasi,2022,9,Lulus,2.99,145,77.5,4,3500000,0,Lunas,"Hendra Gunawan, M.Kom"
22020029,Fikri Saputra,L,S1 Sistem Informasi,2022,9,Aktif,4.0,148,85.3,6,5800000,0,Lunas,"Dwi Handayani, M.Kom"
22020030,Hana Hidayat,P,S1 Sistem Informasi,2022,9,Lulus,2.93,148,86.6,4,3500000,0,Lunas,"Rizal Fadhillah, M.T"
22020031,Oktavia Wibowo,P,S1 Sistem Informasi,2022,9,Lulus,3.86,148,100.0,1,500000,0,Lunas,"Dwi Handayani, M.Kom"
22020032,Wahyu Utami,L,S1 Sistem Informasi,2022,9,Aktif,3.39,145,85.1,5,4600000,0,Lunas,Dr. Sri Wahyuni
22020033,Vina Wijaya,P,S1 Sistem Informasi,2022,9,Lulus,3.54,146,99.4,8,8500000,0,Lunas,"Rizal Fadhillah, M.T"
22020034,Zahra Syahputra,P,S1 Sistem Informasi,2022,9,Lulus,3.89,148,87.3,4,3500000,0,Lunas,Dr. Arief Rahman
22020035,Nadia Kusuma,P,S1 Sistem Informasi,2022,9,Aktif,3.69,148,92.7,3,2400000,0,Lunas,Dr. Sri Wahyuni
22020036,Dimas Syahputra,L,S1 Sistem Informasi,2022,9,Lulus,3.57,148,78.3,5,4600000,0,Lunas,"Rizal Fadhillah, M.T"
22020037,Melati Halim,P,S1 Sistem Informasi,2022,9,Lulus,3.88,147,91.6,1,500000,0,Lunas,"Rizal Fadhillah, M.T"
22020038,Dimas Permata,L,S1 Sistem Informasi,2022,9,Lulus,3.28,148,78.8,6,5800000,0,Lunas,Dr. Arief Rahman
22020039,Oktavia Permata,P,S1 Sistem Informasi,2022,9,Aktif,3.08,148,86.8,2,1000000,0,Lunas,"Rizal Fadhillah, M.T"
22020040,Ayu Anggraini,P,S1 Sistem Informasi,2022,9,Lulus,3.07,146,90.9,4,3500000,0,Lunas,Dr. Sri Wahyuni
22020041,Reza Ramadhan,L,S1 Sistem Informasi,2022,9,Lulus,3.13,148,81.2,1,500000,0,Lunas,"Nur Aisyah, M.Sc"
22020042,Rizky Halim,L,S1 Sistem Informasi,2022,9,Lulus,3.17,148,82.6,3,2400000,0,Lunas,"Yuni Kartika, M.T"
22020043,Kartika Firmansyah,P,S1 Sistem Informasi,2022,9,Aktif,2.9,140,71.6,4,3500000,0,Lunas,"Hendra Gunawan, M.Kom"
22020044,Galih Kusuma,L,S1 Sistem Informasi,2022,9,Lulus,3.5,148,84.5,6,5800000,0,Lunas,"Nur Aisyah, M.Sc"
22020045,Joko Hidayat,L,S1 Sistem Informasi,2022,9,Lulus,3.72,148,88.1,7,7000000,0,Lunas,"Ir. Bambang Setyo, M.Kom"
22020046,Fajar Permata,L,S1 Sistem Informasi,2022,9,Lulus,3.62,148,91.4,4,3500000,0,Lunas,Dr. Sri Wahyuni
22020047,Rani Setiawan,P,S1 Sistem Informasi,2022,9,Aktif,2.71,147,76.3,7,7000000,0,Lunas,"Ir. Bambang Setyo, M.Kom"
22020048,Ayu Hakim,P,S1 Sistem Informasi,2022,9,Aktif,2.6,148,74.8,7,7000000,0,Lunas,"Ir. Bambang Setyo, M.Kom"
22020049,Tiara Nugroho,P,S1 Sistem Informasi,2022,9,Lulus,3.41,148,82.4,7,7000000,0,Lunas,"Ir. Bambang Setyo, M.Kom"
22020050,Lutfi Setiawan,L,S1 Sistem Informasi,2022,9,Lulus,3.83,148,97.4,6,5800000,0,Lunas,"Dwi Handayani, M.Kom"
22020051,Fajar Anggraini,L,S1 Sistem Informasi,2022,9,Aktif,2.85,148,87.3,5,4600000,0,Lunas,"Rizal Fadhillah, M.T"
22020052,Ahmad Syahputra,L,S1 Sistem Informasi,2022,9,Aktif,2.55,145,70.3,3,2400000,0,Lunas,Dr. Sri Wahyuni
22020053,Salsabila Kusuma,P,S1 Sistem Informasi,2022,9,Aktif,2.99,148,74.7,2,1000000,0,Lunas,"Rizal Fadhillah, M.T"
